hostname,n_planets,avg_pl_rade,avg_pl_bmasse,avg_orbper,sy_dist,st_teff
KOI-351,8,3.9,31.14875,106.13811824999999,848.254,6080.0
TRAPPIST-1,7,0.9785714285714285,0.9211428571428569,7.7736924285714295,12.42988881,2566.0
HD 110067,6,2.4313333333333333,6.308333333333333,28.321423333333332,32.1585,5266.0
K2-138,6,2.5843333333333334,6.041666666666667,12.384155000000002,202.585,5356.3
HD 10180,6,6.676666666666667,1587.7010169516664,500.713115,38.9607,5911.0
TOI-1136,6,3.051819136666666,6.59,17.93616666666667,84.5362,5770.0
Kepler-11,6,2.966666666666667,7.8500000000000005,40.513600000000004,646.346,5663.0
TOI-178,6,2.2176666666666667,4.051666666666667,9.603962516666668,62.699,4316.0
Kepler-20,6,2.292666666666667,9.386666666666667,25.46307558333333,282.563,5495.0
HD 191939,6,6.590000000000001,176.97430202666666,559.8221842666666,53.6089,5348.0
Kepler-80,6,1.8133333333333332,747.3908333333333,6.654247883333333,369.451,4540.0
HD 34445,6,8.855,86.68676666666666,1301.2524999999998,46.0907,5879.0
HIP 41378,6,4.253666666666667,7.815,216.46327666666664,106.289,6320.0
HD 219134,6,3.668833333333333,25.23973666666667,403.43891766666667,6.53127,4913.0
Kepler-238,5,2.958,732.7684,19.1161964,1798.75,5800.0
Kepler-55,5,1.8739999999999999,24.424,17.42539294,578.796,4503.0
Kepler-48,5,6.766000000000001,196.41219936,1251.8059808000003,306.738,5194.0
Kepler-33,5,3.7540000000000004,4.630000000000001,22.686586,1209.16,5904.0
Kepler-102,5,1.0424,2.96,13.25388308,107.796,4909.0
Kepler-444,5,0.5434000000000001,0.14974000000000004,6.36387208,36.4396,5046.0
HD 134606,5,3.5,14.634,213.74146000000002,26.7909,5576.0
GJ 667 C,5,1.782,3.896,78.56179999999999,7.24396,3350.0
Kepler-186,5,1.232,1.9479999999999997,35.36977854,177.594,3788.0
Kepler-139,5,5.677,87.2,516.5569989844,391.038,5630.0
Kepler-169,5,1.6740000000000002,3.6379999999999995,23.730302,406.529,4997.0
