pl_name,hostname,hostname_canon,discoverymethod,discoverymethod_canon,disc_year,disc_year_int,disc_year_bad,disc_era,pl_orbper,pl_rade,pl_bmasse,pl_eqt,sy_dist,ra,dec
Kepler-1167 b,Kepler-1167,kepler-1167,Transit,transit,2016,2016,false,2010s,1.003933739,1.71,3.57,1419.0,820.905,298.3026595,47.6939654
Kepler-1581 b,Kepler-1581,kepler-1581,Transit,transit,2016,2016,false,2010s,6.28385491,0.8,0.437,1108.0,493.175,287.3713199,39.6036225
Kepler-644 b,Kepler-644,kepler-644,Transit,transit,2016,2016,false,2010s,3.173917103,3.15,10.1,1655.0,1318.05,295.4757022,43.4931119
Kepler-280 c,Kepler-280,kepler-280,Transit,transit,2014,2014,false,2010s,4.807091,2.01,4.7,1088.0,780.361,291.3905325,42.1804735
Kepler-1208 b,Kepler-1208,kepler-1208,Transit,transit,2016,2016,false,2010s,11.08507637,2.32,5.99,665.0,825.176,291.8812445,44.5557587
Kepler-263 c,Kepler-263,kepler-263,Transit,transit,2014,2014,false,2010s,47.332773,2.47,6.66,386.0,754.747,292.4698022,37.5677941
Kepler-1101 b,Kepler-1101,kepler-1101,Transit,transit,2016,2016,false,2010s,81.3151059,2.47,6.66,393.0,742.473,294.5693544,45.6711623
K2-19 b,K2-19,k2-19,Transit,transit,2015,2015,false,2010s,7.9222,7.0,32.4,779.0,289.827,174.9602543,0.603596
Kepler-560 b,Kepler-560,kepler-560,Transit,transit,2016,2016,false,2010s,18.47764449,1.72,3.61,298.0,109.308,300.2066441,45.0182402
Kepler-150 d,Kepler-150,kepler-150,Transit,transit,2014,2014,false,2010s,12.56093,2.79,8.2,734.0,891.092,288.2341025,40.520897
Kepler-498 b,Kepler-498,kepler-498,Transit,transit,2016,2016,false,2010s,9.61375356,3.03,9.43,931.0,938.844,290.3581592,44.5187225
Kepler-817 b,Kepler-817,kepler-817,Transit,transit,2016,2016,false,2010s,3.990106229,9.03,60.2,1124.0,1484.46,296.0818498,39.161614
Kepler-937 b,Kepler-937,kepler-937,Transit,transit,2016,2016,false,2010s,67.668827,3.72,13.4,495.0,1571.46,294.1688142,46.7146161
K2-10 b,K2-10,k2-10,Transit,transit,2015,2015,false,2010s,19.30553,3.773,25.2,649.0,272.36,172.1216476,1.6906217
Kepler-571 b,Kepler-571,kepler-571,Transit,transit,2016,2016,false,2010s,4.798599388,2.64,7.46,978.0,723.875,286.5510448,49.418731
Kepler-1458 b,Kepler-1458,kepler-1458,Transit,transit,2016,2016,false,2010s,47.9872764,2.76,8.05,493.0,544.45,283.2115971,41.0380135
Kepler-221 d,Kepler-221,kepler-221,Transit,transit,2014,2014,false,2010s,10.04156,2.73,3.61,712.0,385.231,296.6547477,46.8352242
Kepler-626 b,Kepler-626,kepler-626,Transit,transit,2016,2016,false,2010s,14.48585199,2.29,5.86,784.0,635.643,288.6986828,39.7082044
Kepler-1549 b,Kepler-1549,kepler-1549,Transit,transit,2016,2016,false,2010s,214.886545,2.57,7.13,286.0,803.052,286.0524399,39.0960281
K2-62 c,K2-62,k2-62,Transit,transit,2016,2016,false,2010s,16.19697,1.99,4.62,495.0,112.467,334.3645089,-12.1874776
Kepler-1149 b,Kepler-1149,kepler-1149,Transit,transit,2016,2016,false,2010s,3.73089898,1.44,2.67,1128.0,1217.73,294.1891824,45.1515263
Kepler-1288 b,Kepler-1288,kepler-1288,Transit,transit,2016,2016,false,2010s,2.76122421,1.12,1.46,2017.0,814.078,285.7135,41.6058799
Kepler-128 b,Kepler-128,kepler-128,Transit,transit,2013,2013,false,2010s,15.0,1.421,3.79,968.0,396.379,282.4922622,43.9802442
Kepler-1245 b,Kepler-1245,kepler-1245,Transit,transit,2016,2016,false,2010s,4.35409304,1.44,2.67,1043.0,805.936,290.7443078,43.260753
Kepler-1068 b,Kepler-1068,kepler-1068,Transit,transit,2016,2016,false,2010s,16.92344113,3.63,12.8,702.0,1473.61,294.6481708,46.3923173
Kepler-311 c,Kepler-311,kepler-311,Transit,transit,2014,2014,false,2010s,19.738286,1.43,2.63,744.0,778.654,282.0612731,47.0854984
Kepler-150 e,Kepler-150,kepler-150,Transit,transit,2014,2014,false,2010s,30.826557,3.12,9.91,544.0,891.092,288.2341025,40.520897
Kepler-272 c,Kepler-272,kepler-272,Transit,transit,2014,2014,false,2010s,6.057342,1.79,97.8,947.0,889.608,299.1275257,47.5938319
Kepler-152 c,Kepler-152,kepler-152,Transit,transit,2014,2014,false,2010s,88.255055,2.39,6.3,326.0,441.09,286.8653826,41.9889571
Kepler-1506 b,Kepler-1506,kepler-1506,Transit,transit,2016,2016,false,2010s,14.0329154,1.32,2.3,783.0,2366.02,290.1498822,41.4645625
HD 156279 b,HD 156279,hd 156279,Radial Velocity,radial velocity,2011,2011,false,2010s,133.40355,12.5,2997.75753482,,36.1945,258.0966686,63.3527828
HD 156279 c,HD 156279,hd 156279,Radial Velocity,radial velocity,2018,2018,false,2010s,4818.25358,12.5,3098.82696825,,36.1945,258.0966686,63.3527828
HD 79498 b,HD 79498,hd 79498,Radial Velocity,radial velocity,2011,2011,false,2010s,1807.0,13.6,425.8922,,48.9489,138.7885794,23.3748792
HD 3167 b,HD 3167,hd 3167,Transit,transit,2016,2016,false,2010s,0.959641,1.67,4.97,1774.0,47.2899,8.7401487,4.3807215
HD 114783 c,HD 114783,hd 114783,Radial Velocity,radial velocity,2018,2018,false,2010s,4352.0,13.4,603.8739733,,21.0628,198.1818436,-2.2649921
GJ 876 e,GJ 876,gj 876,Radial Velocity,radial velocity,2010,2010,false,2010s,124.26,3.92,14.6,,4.67517,343.3239737,-14.2665958
HD 8535 b,HD 8535,hd 8535,Radial Velocity,radial velocity,2010,2010,false,2010s,1313.0,14.0,216.1244,,55.4401,20.9054804,-41.2701007
HD 37605 c,HD 37605,hd 37605,Radial Velocity,radial velocity,2012,2012,false,2010s,2720.0,13.1,1013.8777,,46.7864,85.0074276,6.0595116
HD 1605 c,HD 1605,hd 1605,Radial Velocity,radial velocity,2015,2015,false,2010s,2149.0,13.0,1150.5446,,88.8047,5.1317548,30.9750611
CoRoT-17 b,CoRoT-17,corot-17,Transit,transit,2011,2011,false,2010s,3.7681,11.43,772.29,1626.0,1176.12,278.699236,-6.612288
HD 132563 b,HD 132563,hd 132563,Radial Velocity,radial velocity,2011,2011,false,2010s,1544.0,13.6,473.547,,105.155,224.5892892,44.0428571
HD 55696 b,HD 55696,hd 55696,Radial Velocity,radial velocity,2018,2018,false,2010s,1827.0,12.9,1357.12729789,,77.9693,108.0622029,-38.174639
HD 148164 b,HD 148164,hd 148164,Radial Velocity,radial velocity,2018,2018,false,2010s,328.55,13.7,390.9309,,77.1971,246.4351678,11.9190729
24 Sex c,24 Sex,24 sex,Radial Velocity,radial velocity,2010,2010,false,2010s,883.0,13.9,273.32,,72.0691,155.8684866,-0.9023998
HD 22781 b,HD 22781,hd 22781,Radial Velocity,radial velocity,2011,2011,false,2010s,528.07,12.3,4338.2,,32.6034,55.2065581,31.8258855
HD 148164 c,HD 148164,hd 148164,Radial Velocity,radial velocity,2018,2018,false,2010s,5062.0,12.8,1640.0028,,77.1971,246.4351678,11.9190729
HD 3167 c,HD 3167,hd 3167,Transit,transit,2016,2016,false,2010s,29.8454,3.0,11.13,564.0,47.2899,8.7401487,4.3807215
MOA-2009-BLG-266L b,MOA-2009-BLG-266L,moa-2009-blg-266l,Microlensing,microlensing,2011,2011,false,2010s,2800.0,3.21,10.4,,3040.0,267.008125,-35.0054111
Kepler-595 b,Kepler-595,kepler-595,Transit,transit,2016,2016,false,2010s,25.3029092,3.708,17.4,535.0,643.009,294.5703593,50.6730147
HD 177830 c,HD 177830,hd 177830,Radial Velocity,radial velocity,2010,2010,false,2010s,110.9,7.87,47.6725,,62.7674,286.3363574,25.9204327
CoRoT-18 b,CoRoT-18,corot-18,Transit,transit,2011,2011,false,2010s,1.9000693,14.68,1102.82,1550.0,764.889,98.1724172,-0.0316045
Kepler-45 b,Kepler-45,kepler-45,Transit,transit,2011,2011,false,2010s,2.455239,10.76,160.497,1000.0,381.949,292.8729292,41.0641727
WASP-23 b,WASP-23,wasp-23,Transit,transit,2010,2010,false,2010s,2.9444256,10.783,280.95,1076.55,207.49,101.1275033,-42.7622296
MOA-2009-BLG-387L b,MOA-2009-BLG-387L,moa-2009-blg-387l,Microlensing,microlensing,2010,2010,false,2010s,1980.0,13.2,830.0,,5690.0,268.461625,-33.9903333
CoRoT-11 b,CoRoT-11,corot-11,Transit,transit,2010,2010,false,2010s,2.99433,16.03,740.51,1657.0,655.037,280.6872998,5.9376586
2MASS J04414489+2301513 b,2MASS J04414489+2301513,2mass j04414489+2301513,Imaging,imaging,2010,2010,false,2010s,,12.6,2383.6,,120.42398696,70.4371079,23.0308544
GJ 3634 b,GJ 3634,gj 3634,Radial Velocity,radial velocity,2010,2010,false,2010s,2.64561,2.83,8.4,,20.3779,164.6433493,-31.1443383
CoRoT-13 b,CoRoT-13,corot-13,Transit,transit,2010,2010,false,2010s,4.03519,9.92,415.704,1700.0,1148.93,102.7211432,-5.0864557
HD 221416 b,HD 221416,hd 221416,Transit,transit,2019,2019,false,2010s,14.2767,9.17,60.5,789.15,95.5483,353.0331863,-21.8012007
CoRoT-8 b,CoRoT-8,corot-8,Transit,transit,2010,2010,false,2010s,6.21229,6.39,69.92,870.0,322.037,291.5885696,1.4262972
Kepler-18 c,Kepler-18,kepler-18,Transit,transit,2011,2011,false,2010s,7.64159,5.49,17.3,899.0,433.047,298.0794448,44.746248
Kepler-18 b,Kepler-18,kepler-18,Transit,transit,2011,2011,false,2010s,3.504725,2.0,6.9,1165.0,433.047,298.0794448,44.746248
WASP-38 b,WASP-38,wasp-38,Transit,transit,2010,2010,false,2010s,6.87188,13.78707,1093.3352,1250.0,136.24,243.9597194,10.0324103
Kepler-18 d,Kepler-18,kepler-18,Transit,transit,2011,2011,false,2010s,14.85888,6.98,16.4,720.0,433.047,298.0794448,44.746248
HAT-P-37 b,HAT-P-37,hat-p-37,Transit,transit,2011,2011,false,2010s,2.797436,13.204,371.528,1271.0,390.594,284.2960393,51.2691212
Kepler-419 c,Kepler-419,kepler-419,Transit Timing Variations,transit timing variations,2014,2014,false,2010s,675.47,12.6,2320.1,,1011.36,295.4179125,51.1847629
51 Eri b,51 Eri,51 eri,Imaging,imaging,2015,2015,false,2010s,9100.0,,3464.3296363,700.0,29.7575,69.4007424,-2.4738245
WASP-67 b,WASP-67,wasp-67,Transit,transit,2012,2012,false,2010s,4.61442,12.89035,136.6669,1003.0,189.469,295.7438485,-19.9497314
CoRoT-14 b,CoRoT-14,corot-14,Transit,transit,2010,2010,false,2010s,1.51214,12.22,2415.4,1952.0,1744.6,103.4242023,-5.5360385
Kepler-419 b,Kepler-419,kepler-419,Transit,transit,2014,2014,false,2010s,69.7546,10.8,794.5,613.0,1011.36,295.4179125,51.1847629
WASP-31 b,WASP-31,wasp-31,Transit,transit,2010,2010,false,2010s,3.4059096,17.363,151.916,1423.7,383.829,169.4388603,-19.0547781
Kepler-59 c,Kepler-59,kepler-59,Transit,transit,2012,2012,false,2010s,17.9801235,1.98,3.81,752.0,1163.22,287.0394932,46.6401677
